ISO3,Country,recent_period_start,recent_period_end,yield_recent_avg_kg_ha,fertilizers_recent_avg_kg_ha,emissions_recent_avg_t_per_ha,agriculture_share_gdp_recent_avg,yield_z,fert_z,emis_z,efficiency_index,efficiency_0_100
VUT,Vanuatu,2014,2023,2409.523478713385,8.208,0.629668275862069,22.60086689115187,-0.6716431693909172,-0.8688709332097464,-0.4289336207019692,0.06565525891250353,51.68540181528066
CIV,Côte d'Ivoire,2014,2023,2463.972978041568,12.193000000000001,0.4076485679944883,16.642361102376,-0.6642268867287457,-0.8253285789770942,-0.46593299066350136,0.06517972233106803,51.67728946507839
VEN,Venezuela (Bolivarian Republic of),2014,2023,8376.70562694303,85.606,3.511899148484848,5.026753566184821,0.1411156264466776,-0.023176796974157955,0.05138737149717239,0.057608228118959215,51.548124612150204
CAF,Central African Republic,2014,2023,2221.134101172645,0.14099999999999996,1.3080024024173047,31.98847621943549,-0.6973027051374558,-0.9570155183025458,-0.3158898934265548,0.052290911535547324,51.45741458910472
MOZ,Mozambique,2014,2023,2126.9177923377606,8.040000000000001,0.615047629691145,25.35636058552089,-0.7101354177670882,-0.8707065958223149,-0.4313701372704772,0.04949357506912404,51.40969381653934
LBY,Libya,2014,2023,2619.429847193114,15.636,0.7619328292682926,3.1808904370863247,-0.6430529163960691,-0.7877084219826095,-0.4068918605750148,0.04866167936030541,51.395502207344244
HND,Honduras,2014,2023,8525.749121467832,114.60499999999999,1.802918687039208,11.92553788987791,0.16141606443034867,0.2936826083941439,-0.23341257242388808,0.04288558958138576,51.2969658067483
KHM,Cambodia,2014,2023,5909.394550636072,34.755,4.248529259675831,17.861387713198642,-0.19494396240481196,-0.5788034607344089,0.17414606832878593,0.042379738055960806,51.288336302973406
BEN,Benin,2014,2023,2649.8525597044354,19.466,0.7452695915495107,27.11305424397613,-0.6389091972045657,-0.7458596850413151,-0.40966877305290117,0.03866596003356523,51.2249816230869
KAZ,Kazakhstan,2014,2023,1568.6666257070026,4.199,0.434532424268605,4.646871530676718,-0.7861719011012459,-0.9126755249584799,-0.4614528219711258,0.03538850748476474,51.16907037695956
YEM,Yemen,2014,2023,2931.9371555531216,8.046,2.247666438098631,26.24053325570634,-0.6004879238545755,-0.8706410364432946,-0.15929578910291597,0.03079669247415842,51.090736947136705
PRK,Democratic People's Republic of Korea,2014,2023,4351.486450279799,39.926,1.9168097941733186,40.49347766008824,-0.4071385092139552,-0.5223022025820765,-0.21443272937906813,0.027086513973110106,51.02744367278421
GRD,Grenada,2014,2023,3988.792834918046,39.762,1.397392857142857,5.251512517433621,-0.4565391171988914,-0.5240941589419648,-0.30099306045084023,0.027033910055798346,51.026546283569786
BLZ,Belize,2014,2023,16676.66046172656,267.967,2.1580763449599933,8.188250223282584,1.2716092379122597,1.969402189279468,-0.17422589162742524,0.024959973183532866,50.991166245814476
TLS,Timor-Leste,2014,2023,2032.1266123976097,0.0,1.6988818359267472,15.409873330569576,-0.7230464305953187,-0.958556163709523,-0.25075021321674335,0.02488350864914933,50.9898618097202
COK,Cook Islands,2014,2023,2237.8823131965596,11.777,1.1123684210526315,1.7855316328294446,-0.6950215184233838,-0.8298740292558352,-0.3484921075411514,0.023325552371515665,50.963284071187786
TGO,Togo,2014,2023,1593.4228070910153,7.337000000000001,0.5991175460992907,19.239827931921617,-0.7827999905961885,-0.8783879697308605,-0.43402487032095344,0.019762612731211646,50.90250259771114
MDA,Republic of Moldova,2014,2023,3288.257403955466,38.297000000000004,0.7261903670394873,10.70313462373874,-0.5519553989826874,-0.5401015739860892,-0.41284830739697176,0.01686261950286036,50.853030566386906
UKR,Ukraine,2014,2023,4450.4957075736575,57.033,0.9915045729878244,9.954289926819706,-0.3936529740424161,-0.33538148643201815,-0.368633951130061,0.015629095393033435,50.83198743331888
NIU,Niue,2014,2023,806.5227185867659,0.0,0.2057894736842105,18.20997164862862,-0.8899795524882208,-0.958556163709523,-0.49957261384028856,0.01196920395322966,50.76955202409683
FRA,France,2014,2023,9581.147032013945,138.052,2.294463944741749,1.5104858140446342,0.3051663159891118,0.5498777350423241,-0.15149702980268892,0.010235779133075343,50.739980904356784
PRT,Portugal,2014,2023,6964.727137026387,98.076,1.6267562753579459,2.007866766463401,-0.051202608309019924,0.11307744575637498,-0.26276986825006865,0.008728059596545705,50.71426017252536
THA,Thailand,2014,2023,9644.304540422567,124.457,3.499016578497377,8.68545145629101,0.31376867120589086,0.401331108745484,0.04924050364656667,0.008486443507364038,50.710138356441256
IRQ,Iraq,2014,2023,3391.6789769272573,39.449,1.0346873673880845,3.719362856078358,-0.5378688852775341,-0.5275141732141907,-0.36143758013518984,0.006572648623164326,50.67749023866853
CPV,Cabo Verde,2014,2023,1374.0408738479211,3.307,0.9148194444444444,5.454341433334125,-0.8126808609068226,-0.9224220193061652,-0.3814134537641984,0.006373581824828986,50.674094286296445
PYF,French Polynesia,2014,2023,2140.141738961958,22.869999999999997,0.5944698376958438,2.6645433862467796,-0.708334252884315,-0.7086656640104623,-0.43479940643913906,0.002549137014981717,50.608851701734224
TZA,United Republic of Tanzania,2014,2023,2348.081872203483,12.036,1.7807651381497787,26.11964672467267,-0.6800118105486419,-0.8270440493947921,-0.2371044399576016,0.0013840100609491673,50.58897538043695
KWT,Kuwait,2014,2023,41303.63127862781,489.89700000000005,21.497114328906004,0.4688937725842349,4.6259206447143075,4.3943343536088335,3.0486061170287924,0.0012124547815903775,50.58604875699822
SWE,Sweden,2014,2023,7375.911480659146,101.586,2.180892567216842,1.206153483280415,0.004802669173146791,0.1514296824832532,-0.1704235902168262,-0.0006618060628533484,50.554075064680724
MAR,Morocco,2014,2023,3620.998448949431,45.888999999999996,1.0527194639407402,10.93038759577248,-0.5066344745769741,-0.45714710639906386,-0.35843254865423824,-0.0012332444763596129,50.54432669050644
SEN,Senegal,2014,2023,2141.619059750946,15.237,1.3238387329798127,15.23758062164551,-0.7081330347153874,-0.7920681206874597,-0.31325078422790287,-0.002726733358710709,50.51884872454164
GIN,Guinea,2014,2023,1771.1950419493755,2.625,1.8311327437567833,23.47159940970564,-0.7585865605470142,-0.9298739353881398,-0.22871072711188614,-0.005224089851742962,50.476245418629325
TUN,Tunisia,2014,2023,2388.702627336785,29.134000000000004,0.6948641006648124,9.546881249873923,-0.6744790690958019,-0.6402216723132642,-0.41806879944356695,-0.006931879538239885,50.44711161788814
TUV,Tuvalu,2014,2023,877.7448246737227,6.35,0.5386666666666666,16.14911248220214,-0.8802787604322206,-0.8891724875797008,-0.4440989510145541,-0.018348958166950535,50.252343552215095
NER,Niger,2014,2023,702.0158593660956,0.597,0.7512369655276101,36.0208352037387,-0.9042138873798014,-0.9520330054970028,-0.4086743159408046,-0.019117768686608638,50.23922813603444
ISR,Israel,2014,2023,12060.741773324964,189.221,2.6695446721803915,1.3569514153415443,0.6428989988620626,1.1089790458906514,-0.08899018870631177,-0.021141617102689313,50.20470257533416
LSO,Lesotho,2014,2023,1949.1489141656014,11.845,1.7508877572560637,5.019798526269377,-0.7343483906195207,-0.8291310229602719,-0.2420834766376584,-0.021196599731288207,50.20376460682522
